temperature,humidity,rainfall,label
27.48588526,61.29293204,202.9355362,0
26.72899382,71.14056811,226.6555374,0
27.59559186,69.36161611,263.9642476,0
22.65439222,64.79534928,242.8640342,0
23.71721218,63.21050422,262.7173405,0
26.41246559,69.87968396,251.0549998,0
24.5948638,71.31438714,271.3248604,0
21.20878059,74.18848363,241.9741949,0
24.53478155,79.26779998,230.4462359,0
27.21112626,61.67023428,221.2091958,0
21.90160156,61.42327124,264.6148697,0
26.13059202,60.64896242,250.0832336,0
23.36257206,78.58395415,284.4364567,0
24.75050833,65.15514286,185.2773389,0
24.34941088,63.38808267,209.5869708,0
23.81241417,61.2819025,231.0863347,0
24.77962321,70.90169127,276.6552459,0
20.49000404,79.89404516,206.2611855,0
25.62557043,73.79989642,224.5550169,0
23.91485489,60.68994579,291.2986618,0
21.7237681,79.87441143,185.4974732,0
21.36003564,64.21499257,231.3843163,0
21.54021406,70.92139844,213.3560921,0
27.47328979,72.69378715,233.1075816,0
20.7041816,75.72931422,224.0581164,0
24.64607152,77.81698933,257.0038865,0
25.56931004,76.54277174,271.3586137,0
27.6703344,61.84441748,260.2634026,0
23.21159078,69.04777967,240.0810647,0
25.14231273,79.91257032,197.9791215,0
23.02451201,61.42437487,272.2017204,0
26.53001618,62.52475089,200.0882787,0
27.13142554,78.6269238,224.6757231,0
27.36721141,64.19208105,270.4417274,0
25.65753342,75.6838313,233.1321372,0
22.16345107,65.73980481,193.3473987,0
26.57052155,76.0832214,272.2999056,0
25.73359194,61.73322672,285.2493645,0
25.04491906,61.84009854,298.4018471,0
21.13170778,60.95494257,257.0343554,0
20.23436864,72.50433568,248.7183228,0
24.76560577,75.51696,209.9001977,0
25.87523176,64.74957406,200.834898,0
20.64286738,74.14591209,298.5601175,0
24.44910833,75.52477145,265.5355937,0
27.50634187,61.33116171,183.6793207,0
25.92651919,73.39637245,196.9560008,0
21.29613957,80.97106531,233.0453455,0
24.50037441,76.95546549,210.8142087,0
21.01281159,77.80458061,253.7202781,0
21.26837381,63.26201457,219.9048349,0
25.74562847,66.34998724,208.5810155,0
25.06766614,71.21587583,195.0948311,0
27.80672073,80.70416869,227.3637009,0
24.17557659,66.90869955,286.5083725,0
21.95456393,64.14005797,283.9338466,0
21.93193394,63.18807875,217.3788583,0
26.4384496,79.97191789,267.9761948,0
27.98194066,80.24454942,191.9535738,0
23.17921867,64.52781891,277.9626192,0
22.81772747,61.19185111,245.1511304,0
22.06107139,80.01308676,245.6626799,0
21.71841182,79.22521513,279.5451717,0
22.54708868,72.99869128,202.3838319,0
20.07973917,72.58620324,263.6372176,0
20.53329132,70.9176526,182.5616319,0
25.15118525,62.38074505,198.6730942,0
22.17591009,80.02034913,243.5120414,0
23.46920907,61.98958912,263.1103304,0
21.92067766,76.60274288,269.5039162,0
27.02754319,63.57925044,204.8001847,0
27.575285,78.65377578,260.8875056,0
26.53623521,78.46204127,295.6094492,0
21.90321617,74.13584045,192.3197536,0
27.10033442,77.70244245,257.4914906,0
22.04762754,77.6084438,278.0791793,0
